;Scopy version,e02cebe
;Exported on,Thursday December 09/12/2021
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
356,293.095,12.0206,-1.53181
357,295.129,11.9239,-1.34719
358,297.177,12.0222,-1.63647
359,299.239,12.0401,-0.593278
360,301.315,12.0185,-1.62382
361,303.406,12.1455,-2.09374
362,305.511,11.9902,-1.81192
363,307.631,12.0556,-1.48488
364,309.766,11.9864,-1.09379
365,311.915,12.0458,-1.65098
366,314.079,11.9592,-1.15466
367,316.258,12.0329,-1.66566
368,318.453,12.0732,-2.43361
369,320.662,12.0128,-1.40629
370,322.887,12.2163,-1.76091
371,325.128,11.9704,-1.50771
372,327.384,12.0358,-1.59068
373,329.655,12.0858,-2.45283
374,331.943,12.0164,-1.64128
375,334.246,11.9182,-2.0057
376,336.565,11.9789,-1.57371
377,338.9,12.0525,-1.87143
378,341.252,12.1282,-1.13751
379,343.62,12.0225,-1.69441
380,346.004,12.0301,-2.76182
381,348.405,11.9897,-1.61903
382,350.822,12.0648,-1.81198
383,353.256,12.1907,-1.7551
384,355.708,12.0165,-1.75248
385,358.176,11.9234,-2.53119
386,360.661,12.0194,-1.33647
387,363.163,12.0324,-1.89389
388,365.683,11.956,-1.22829
389,368.221,12.041,-1.5996
390,370.776,12.0207,-0.892864
391,373.348,11.9726,-1.49286
392,375.939,12.0369,-1.93062
393,378.547,12.1101,-2.94813
394,381.174,12.0458,-1.3966
395,383.819,12.0691,-2.09611
396,386.482,12.0428,-1.06786
397,389.164,12.0763,-1.63941
398,391.864,12.054,-2.1034
399,394.583,12.1027,-3.0187
400,397.321,12.0561,-1.68516
401,400.078,11.8406,-1.91857
402,402.854,12.0806,-1.19288
403,405.649,12.0872,-1.85938
404,408.463,11.9048,-3.19403
405,411.298,12.0985,-1.22084
406,414.151,12.1002,-2.03467
407,417.025,12.0708,-1.13058
408,419.919,12.1203,-1.61763
409,422.832,12.1267,-2.24423
410,425.766,12.1537,-3.68876
411,428.72,12.1752,-1.75491
412,431.695,12.1572,-2.53343
413,434.691,12.0794,-2.67304
414,437.707,12.1216,-1.38819
415,440.744,12.1449,-2.41657
416,443.802,12.083,-2.65267
